Número de Vértice -> 2064
Número de Arestas -> 14588
Grau Médio do Grafo -> 14.1357
Frequência relativa de grau 19 -> 0.00775194
Frequência relativa de grau 6 -> 0.0935078
Frequência relativa de grau 32 -> 0.0150194
Frequência relativa de grau 33 -> 0.0188953
Frequência relativa de grau 25 -> 0.00968992
Frequência relativa de grau 23 -> 0.0116279
Frequência relativa de grau 29 -> 0.0140504
Frequência relativa de grau 36 -> 0.0164729
Frequência relativa de grau 41 -> 0.00193798
Frequência relativa de grau 34 -> 0.0179264
Frequência relativa de grau 11 -> 0.00920543
Frequência relativa de grau 7 -> 0.106589
Frequência relativa de grau 35 -> 0.0145349
Frequência relativa de grau 5 -> 0.0818798
Frequência relativa de grau 27 -> 0.0140504
Frequência relativa de grau 31 -> 0.0150194
Frequência relativa de grau 15 -> 0.00823643
Frequência relativa de grau 20 -> 0.0106589
Frequência relativa de grau 42 -> 0.00193798
Frequência relativa de grau 30 -> 0.0145349
Frequência relativa de grau 18 -> 0.00920543
Frequência relativa de grau 43 -> 0.00339147
Frequência relativa de grau 3 -> 0.059593
Frequência relativa de grau 17 -> 0.00726744
Frequência relativa de grau 37 -> 0.0188953
Frequência relativa de grau 26 -> 0.0145349
Frequência relativa de grau 8 -> 0.115795
Frequência relativa de grau 10 -> 0.0116279
Frequência relativa de grau 21 -> 0.00678295
Frequência relativa de grau 38 -> 0.0169574
Frequência relativa de grau 4 -> 0.0697674
Frequência relativa de grau 28 -> 0.0111434
Frequência relativa de grau 68 -> 0.000484496
Frequência relativa de grau 40 -> 0.00339147
Frequência relativa de grau 24 -> 0.0121124
Frequência relativa de grau 14 -> 0.00920543
Frequência relativa de grau 16 -> 0.00872093
Frequência relativa de grau 22 -> 0.00823643
Frequência relativa de grau 39 -> 0.0164729
Frequência relativa de grau 44 -> 0.00193798
Frequência relativa de grau 12 -> 0.00872093
Frequência relativa de grau 46 -> 0.000968992
Frequência relativa de grau 55 -> 0.000484496
Frequência relativa de grau 2 -> 0.0431202
Frequência relativa de grau 47 -> 0.000968992
Frequência relativa de grau 49 -> 0.000484496
Frequência relativa de grau 13 -> 0.0111434
Frequência relativa de grau 73 -> 0.000484496
Frequência relativa de grau 64 -> 0.000484496
Frequência relativa de grau 74 -> 0.000484496
Frequência relativa de grau 48 -> 0.000968992
Frequência relativa de grau 1 -> 0.0319767
Frequência relativa de grau 9 -> 0.00726744
Frequência relativa de grau 81 -> 0.000484496
Frequência relativa de grau 57 -> 0.000484496
Frequência relativa de grau 45 -> 0.000968992
Frequência relativa de grau 60 -> 0.000484496
Frequência relativa de grau 50 -> 0.000484496
Frequência relativa de grau 52 -> 0.000484496

